date,volume,NR Per HL,Covid,Unemployment Rate,Temperature,Industrial Production Index, Spring Festival ,Night life flag,Month1,Month5,Month6,Month7,Month8,Month11
1/1/2016,7044.08,411.07,0,4.12,27.54,78.52,31,0,1,0,0,0,0,0
2/1/2016,4142.46,363.47,0,4.12,31.48,88.85,6,0,0,0,0,0,0,0
3/1/2016,5443.13,347.9,0,4.12,42.45,97.01,0,0,0,0,0,0,0,0
4/1/2016,5740.61,354.84,0,3.84,54.35,87,0,0,0,0,0,0,0,0
5/1/2016,7307.76,352.51,0,3.84,60.23,85.05,0,0,0,1,0,0,0,0
6/1/2016,8463.61,348.22,0,3.84,68.28,91.55,0,0,0,0,1,0,0,0
7/1/2016,8573.57,337.79,0,3.69,73.7,79.78,0,0,0,0,0,1,0,0
8/1/2016,8599.29,338.56,0,3.69,72.86,85.29,0,0,0,0,0,0,1,0
9/1/2016,6741.35,361.21,0,3.69,65.32,82.58,0,0,0,0,0,0,0,0
10/1/2016,4618.42,377.13,0,3.66,56.03,73.7,0,0,0,0,0,0,0,0
11/1/2016,3828.56,454.35,0,3.66,41.99,76.45,0,0,0,0,0,0,0,1
12/1/2016,3299.27,379.56,0,3.66,34.9,76.24,16,0,0,0,0,0,0,0
1/1/2017,7708.41,426.81,0,3.77,32.13,83.47,26,0,1,0,0,0,0,0
2/1/2017,4256.09,390.53,0,3.77,33.79,94.45,0,0,0,0,0,0,0,0
3/1/2017,5475.99,371.38,0,3.77,41.47,104.39,0,0,0,0,0,0,0,0
4/1/2017,5855.84,378.9,0,3.82,52.6,92.65,0,0,0,0,0,0,0,0
5/1/2017,7413.14,374.71,0,3.82,61.21,90.57,0,0,0,1,0,0,0,0
6/1/2017,8423.1,370.55,0,3.82,67.7,98.51,0,0,0,0,1,0,0,0
7/1/2017,8904.24,345.9,0,3.8,74.35,84.88,0,0,0,0,0,1,0,0
8/1/2017,8370.49,352.95,0,3.8,72.66,90.41,0,0,0,0,0,0,1,0
9/1/2017,6576.07,393.37,0,3.8,65.68,88.03,0,0,0,0,0,0,0,0
10/1/2017,4440.18,405.13,0,3.71,53.85,78.27,0,0,0,0,0,0,0,0
11/1/2017,3800.58,455.53,0,3.71,42.07,81.12,0,0,0,0,0,0,0,1
12/1/2017,3253.16,463.56,0,3.71,31.43,80.97,0,0,0,0,0,0,0,0
1/1/2018,7253.83,431.94,0,3.55,27.5,89.48,29,0,1,0,0,0,0,0
2/1/2018,4656.34,417.97,0,3.55,30.42,101.25,14,0,0,0,0,0,0,0
3/1/2018,5807.92,381.83,0,3.55,43.88,110.65,0,0,0,0,0,0,0,0
4/1/2018,5952.6,388.15,0,3.53,53.11,99.14,0,0,0,0,0,0,0,0
5/1/2018,7841.72,392.23,0,3.53,62.64,96.73,0,0,0,1,0,0,0,0
6/1/2018,8579.57,386.06,0,3.53,68.85,104.42,0,0,0,0,1,0,0,0
7/1/2018,8985.52,370.48,0,3.64,74.77,89.98,0,0,0,0,0,1,0,0
8/1/2018,8540.23,374.97,0,3.64,73.51,95.93,0,0,0,0,0,0,1,0
9/1/2018,6571.47,417.69,0,3.64,64.22,93.13,0,0,0,0,0,0,0,0
10/1/2018,4569.86,447.23,0,3.88,51.88,82.89,0,0,0,0,0,0,0,0
11/1/2018,4198.11,494.22,0,3.88,43.16,85.5,0,0,0,0,0,0,0,1
12/1/2018,3455.44,520.47,0,3.88,32.03,85.59,9,0,0,0,0,0,0,0
1/1/2019,7601.38,470.19,0,4.26,30.2,94.22,31,0,1,0,0,0,0,0
2/1/2019,4073.84,453.64,0,4.26,33.27,106.62,3,0,0,0,0,0,0,0
3/1/2019,5840.26,418.1,0,4.26,43.02,120.05,0,0,0,0,0,0,0,0
4/1/2019,5886.59,412.21,0,4.5,53.07,104.49,0,0,0,0,0,0,0,0
5/1/2019,7765.91,418.64,0,4.5,60.24,101.57,0,0,0,1,0,0,0,0
6/1/2019,8958.42,420.29,0,4.5,68.66,110.99,0,0,0,0,1,0,0,0
7/1/2019,7795.46,402.72,0,4.6,72.85,94.29,0,0,0,0,0,1,0,0
8/1/2019,8789.01,410.09,0,4.6,71.99,100.15,0,0,0,0,0,0,1,0
9/1/2019,6436.65,457.08,0,4.6,64.61,98.53,0,0,0,0,0,0,0,0
10/1/2019,4423.87,473.36,0,4.56,54.5,86.79,0,0,0,0,0,0,0,0
11/1/2019,3832.59,489.77,0,4.56,43.05,90.8,0,0,0,0,0,0,0,1
12/1/2019,3193.69,576.79,0,4.56,33.32,91.49,19,0,0,0,0,0,0,0
1/1/2020,6911.87,510.27,2,4.38,32.51,81.5,23,0,1,0,0,0,0,0
2/1/2020,528.09,192.72,10,4.38,36.38,92.22,0,0,0,0,0,0,0,0
3/1/2020,2032.87,383.37,8,4.38,44.52,118.73,0,0,0,0,0,0,0,0
4/1/2020,4952.54,382.74,2,4.25,49.32,108.57,0,0,0,0,0,0,0,0
5/1/2020,8323.3,408.38,0,4.25,62.28,106.04,0,0,0,1,0,0,0,0
6/1/2020,9406.94,413.48,0,4.25,69.61,116.32,0,0,0,0,1,0,0,0
7/1/2020,8565.55,412.26,0,4.18,71.93,98.82,0,0,0,0,0,1,0,0
8/1/2020,8684.27,416.12,0,4.18,72.92,105.76,0,0,0,0,0,0,1,0
9/1/2020,6472.98,454.85,0,4.18,64.6,105.33,0,0,0,0,0,0,0,0
10/1/2020,4324.51,492.19,0,4.17,52.78,92.78,0,0,0,0,0,0,0,0
11/1/2020,4012.16,532.63,0,4.17,44.37,97.15,0,0,0,0,0,0,0,1
12/1/2020,3207.81,495.45,0,4.17,30.29,98.17,0,0,0,0,0,0,0,0
1/1/2021,7667.78,508.16,0,4.23,27.48,110.11,31,0,1,0,0,0,0,0
2/1/2021,3821.34,493.26,0,4.23,37.38,124.59,11,0,0,0,0,0,0,0
3/1/2021,5986.85,445.73,0,4.23,44.99,135.47,0,0,0,0,0,0,0,0
4/1/2021,5938.05,449.17,0,4.29,52.09,119.21,0,0,0,0,0,0,0,0
5/1/2021,7600.51,442,0,4.29,61.32,115.37,0,0,0,1,0,0,0,0
6/1/2021,8106.64,428.54,1.3,4.29,69.22,125.98,0,0,0,0,1,0,0,0
7/1/2021,8246.84,416.79,1.2,4.35,74,105.14,0,0,0,0,0,1,0,0
8/1/2021,7530.45,410.34,1.3,4.35,71.56,111.36,0,0,0,0,0,0,1,0
9/1/2021,6259.98,480.42,1.3,4.35,67.2,108.6,0,0,0,0,0,0,0,0
10/1/2021,4295.12,477.39,1.3,4.42,53.81,96.02,0,0,0,0,0,0,0,0
11/1/2021,4416,551.52,1.1,4.42,41.55,100.84,0,0,0,0,0,0,0,1
12/1/2021,3498.36,586.02,1.2,4.42,32.04,102.39,12,0,0,0,0,0,0,0
1/1/2022,7462.02,501.73,1,4.5,30.36,118.37,30,0,1,0,0,0,0,0
2/1/2022,3803.84,494.72,1,4.5,29.79,133.94,0,0,0,0,0,0,0,0
3/1/2022,5331.26,455.32,1.4,4.5,45.1,142.25,0,0,0,0,0,0,0,0
4/1/2022,4392,429.54,1.4,4.56,52.12,115.75,0,0,0,0,0,0,0,0
5/1/2022,7227.47,438.18,1.1,4.56,59.05,116.18,0,0,0,1,0,0,0,0
6/1/2022,8706.65,441.96,1,4.56,70.12,130.89,0,0,0,0,1,0,0,0
7/1/2022,8338.99,403.25,1.4,4.6,74.11,109.14,0,0,0,0,0,1,0,0
